Type,FSWP-8
Version,3.01
Date,19.May 2026
VSupply,OFF
Mode,Voltage
Voltage Set,0.0000000000,V
Voltage Min,0.0000000000,V
Voltage Max,16.0000000000,V
Voltage Meas,0.0130405693,V
Current Max,2000.0000000000,mA
Current Meas,-0.9407452657,mA
VTune,OFF
Voltage Set,0.0000000000,V
Voltage Min,-10.0000000000,V
Voltage Max,28.0000000000,V
Voltage Meas,0.0138665925,V
Current Max,20.0000000000,mA
Current Meas,0.0232254799,mA
VAux,OFF
Voltage Set,0.0000000000,V
Voltage Min,-10.0000000000,V
Voltage Max,10.0000000000,V
Voltage Meas,-0.0001882136,V
Current Max,100.0000000000,mA
Current Meas,0.2164655802,mA
Mode,Phase Noise
Measurement,Phase Noise
Input,RF
RF Att,0.0000000000,dB
Coupling,AC
RBW,2.0000000000,%
XCORR Factor,6
XCORR Optimize,ON
Estimated Meas Time,210.2769558710,s
Sweep Count,0
Signal Frequency,34639998.8734160662,Hz
Signal Level,13.1797000000,dBm
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
SubSweep,1
Start,1.0000000000,Hz
Stop,3.0000000000,Hz
RBW,0.0600000000,Hz
XCORR Count,6
SubSweep,2
Start,3.0000000000,Hz
Stop,10.0000000000,Hz
RBW,0.0600000000,Hz
XCORR Count,6
SubSweep,3
Start,10.0000000000,Hz
Stop,30.0000000000,Hz
RBW,0.2000000000,Hz
XCORR Count,27
SubSweep,4
Start,30.0000000000,Hz
Stop,100.0000000000,Hz
RBW,0.6000000000,Hz
XCORR Count,87
SubSweep,5
Start,100.0000000000,Hz
Stop,300.0000000000,Hz
RBW,2.0000000000,Hz
XCORR Count,300
SubSweep,6
Start,300.0000000000,Hz
Stop,1000.0000000000,Hz
RBW,6.0000000000,Hz
XCORR Count,900
SubSweep,7
Start,1000.0000000000,Hz
Stop,3000.0000000000,Hz
RBW,20.0000000000,Hz
XCORR Count,3000
SubSweep,8
Start,3000.0000000000,Hz
Stop,10000.0000000000,Hz
RBW,60.0000000000,Hz
XCORR Count,9000
SubSweep,9
Start,10000.0000000000,Hz
Stop,30000.0000000000,Hz
RBW,200.0000000000,Hz
XCORR Count,30000
SubSweep,10
Start,30000.0000000000,Hz
Stop,100000.0000000000,Hz
RBW,600.0000000000,Hz
XCORR Count,90000
SubSweep,11
Start,100000.0000000000,Hz
Stop,300000.0000000000,Hz
RBW,2000.0000000000,Hz
XCORR Count,300000
SubSweep,12
Start,300000.0000000000,Hz
Stop,1000000.0000000000,Hz
RBW,6000.0000000000,Hz
XCORR Count,600000
SubSweep,13
Start,1000000.0000000000,Hz
Stop,3000000.0000000000,Hz
RBW,20000.0000000000,Hz
XCORR Count,600000
SubSweep,14
Start,3000000.0000000000,Hz
Stop,10000000.0000000000,Hz
RBW,60000.0000000000,Hz
XCORR Count,600000
SubSweep,15
Start,10000000.0000000000,Hz
Stop,30000000.0000000000,Hz
RBW,200000.0000000000,Hz
XCORR Count,600000
SubSweep,16
Start,30000000.0000000000,Hz
Stop,100000000.0000000000,Hz
RBW,600000.0000000000,Hz
XCORR Count,600000
Integrated Measurements Range,1
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,2
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,3
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,4
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,5
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,6
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,7
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,8
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,9
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Integrated Measurements Range,10
Start,1.0000000000,Hz
Stop,100000000.0000000000,Hz
Weighting,OFF
Spot Noise Decade Edges,ON
Spot Noise User Defined,ON
Spot Noise User Defined Offset,1
State,ON
Offset,1000.0000000000,Hz
Spot Noise User Defined Offset,2
State,ON
Offset,10000.0000000000,Hz
Spot Noise User Defined Offset,3
State,ON
Offset,100000.0000000000,Hz
Spot Noise User Defined Offset,4
State,ON
Offset,1000000.0000000000,Hz
Spot Noise User Defined Offset,5
State,ON
Offset,10000000.0000000000,Hz
Spot Noise User Defined Offset,6
State,ON
Offset,100000000.0000000000,Hz
Window,2,Integrated Measurements
Window,Range,Trace,Start Offset,Unit,Stop Offset,Unit,Weighting,Int Noise,Unit,PM,Unit,FM,Unit,Jitter,Unit
2,1,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,1,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,1,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
